style;name;color;season;image_url;division;gender;age;category;parent_type;subtype;activity_use;sustainability;;description
24a083583;otis flag dbah pro - 19;blk;253;;billabong;men;adult;swim;boardshorts;regular;surf;;;"4-Way Pro Stretch, 19"" Pro Fit, Back Pocket with collection flag logo detail, side piping detail, screen print with collection art branding on wearers left leg. Designed in conjunction with team rider Otis Carey."
24a091500;bad dog workwear short;dmi;253;;billabong;men;adult;clothing;shorts;denim;casual;;;"13.5oz Denim,21"",Relaxed fit,Fixed waist with button closure and zip fly,Large patch back pockets with one dual pocket on back right, utility loop, tool pocket, two front pockets & dual coin pocket on the front right side,Structured short with worn in workwear aesthetic & relaxed, straight fit. Durable, comfortable heavy weight cotton. The garment is finished metal rivets"
24a093572;smoko cord short;des;253;;billabong;men;adult;clothing;shorts;bermuda;casual;;;"22"", relaxed fit, 10 whale cotton cord, carpenter styling, multi embroidery hits on left leg and above back right pocket, contrast bar tack embroidery detail front and back to give it a heritage feel."
24a093590;otis combat cargo;blk;253;;billabong;men;adult;clothing;shorts;cargo;casual;;;"21"" Military style cargo short, 100% light weight cotton twill, 2 x cargo style pockets, one with direct embroidery. back welt pocket flap features onset taping in flag colours, finished with Otis' signature collection artwork as an all over tonal yardage."
24a153502;outpost jacket;sug;253;;billabong;men;adult;clothing;jackets;rain;casual;recycled;;Product Type: Recycled Nylon 10K/10K waterproof/breathability jacket.^Additional Features: Snap front closure, sherpa collar, dual chest pockets with snap closure flaps, dual hand zipper pockets with flaps and dual entry, chest label, and adjustable sleeve cuffs. ^Recycled taffeta lined, and recycled insulation.
24a183500;journey puffer vest;blk;253;;billabong;men;adult;clothing;jackets;quilted;casual;;;Product Type: Poly filled quilted light weight vest.^Additional Features: Zip closure hand pockets, zip chest pocket, internal stow pocket and woven patch on chest. Recycled taffeta lining and recycled insulation.
24a183500;journey puffer vest;nvy;253;;billabong;men;adult;clothing;jackets;quilted;casual;;;Product Type: Poly filled quilted light weight vest.^Additional Features: Zip closure hand pockets, zip chest pocket, internal stow pocket and woven patch on chest. Recycled taffeta lining and recycled insulation.
24a253573;throw on;blk;253;;billabong;men;adult;swim;boardshorts;regular;surf;;;"Product type:Boardshorts. Fabric/tech - 1:Surf suede. Fabric/tech. - 2 Micro Repel water repellent coating keeps fabric light and quick drying. Outseam:21"" outseam, below knee. Fit:Elasticated waist fit. Pockets:Side-entry pockets with mesh pocket bags. Pockets: Cargo side pockets with hook & loop closure. The Throw On is the perfect hybird. The rigid boardshort fabric is light and durable, plus its the best length ever made in walkshorts 21"". The elastic waist makes it super comfy, the contrast stitch detail finish the look and the branding hit on the cargo pocket is second to none. Wrap any waist around these and you wont go back to another short until skinny leg jeans and white thongs make a resurgence."
24a253573;throw on;nvy;253;;billabong;men;adult;swim;boardshorts;regular;surf;;;"Product type:Boardshorts. Fabric/tech - 1:Surf suede. Fabric/tech. - 2 Micro Repel water repellent coating keeps fabric light and quick drying. Outseam:21"" outseam, below knee. Fit:Elasticated waist fit. Pockets:Side-entry pockets with mesh pocket bags. Pockets: Cargo side pockets with hook & loop closure. The Throw On is the perfect hybird. The rigid boardshort fabric is light and durable, plus its the best length ever made in walkshorts 21"". The elastic waist makes it super comfy, the contrast stitch detail finish the look and the branding hit on the cargo pocket is second to none. Wrap any waist around these and you wont go back to another short until skinny leg jeans and white thongs make a resurgence."
24a253574;throw ons 2.0;blk;253;;billabong;men;adult;swim;boardshorts;regular;surf;;;"Product type:Boardshorts. Fabric^Supreme Surf suede^Micro Repel water repellent coating keeps fabric light and quick drying^Outseam:21""^Fit:Elasticated waist, long leg length, baggy fit^Pockets:Side-entry pockets with mesh pocket bagg, back patch pocket^Cut n Sew panels witrh onset tape^high denisty print word branding."
