style;division;gender;age;category;parent_type;subtype;activity_use;sustainability
ebyft00151;billabong;men;adult;clothing;pullover;hoodie;casual;
ebyft00152;billabong;men;adult;clothing;pullover;crew;casual;
ebyft00153;billabong;men;adult;clothing;pullover;crew;casual;
ebyft00154;billabong;men;adult;clothing;pullover;hoodie;casual;
ebyft00155;billabong;men;adult;clothing;pullover;hoodie;casual;recycled
ebyft00156;billabong;men;adult;clothing;pullover;hoodie;casual;recycled
ebyft00157;billabong;men;adult;clothing;pullover;fleece;casual;recycled
ebyft00158;billabong;men;adult;clothing;pullover;fleece;casual;recycled
ebyft00161;billabong;men;adult;clothing;pullover;hoodie;casual;recycled
ebyha00147;billabong;men;adult;accessories;hat;bucket;beach;
ebyha00149;billabong;men;adult;accessories;cap;trucker;beach;recycled
ebyha00150;billabong;men;adult;accessories;cap;snapback;beach;
ebyha00151;billabong;men;adult;accessories;cap;strapback;beach;
ebyha00152;billabong;men;adult;accessories;cap;strapback;beach;
ebyha00153;billabong;men;adult;accessories;beanie;knit;casual;
ebyha00154;billabong;men;adult;accessories;beanie;cuff;casual;
ebyha00155;billabong;men;adult;accessories;beanie;knit;casual;
ebyjk00132;billabong;men;adult;clothing;jackets;quilted;casual;
ebyjk00133;billabong;men;adult;clothing;jackets;quilted;casual;
ebyjk00134;billabong;men;adult;clothing;jackets;fleece;casual;
ebyjk00135;billabong;men;adult;clothing;jackets;puffer;casual;
ebyjk00136;billabong;men;adult;clothing;jackets;sherpa;casual;
ebyjk00137;billabong;men;adult;clothing;jackets;soft_shell;casual;recycled
ebyjk00138;billabong;men;adult;clothing;jackets;rain;casual;
ebyjk00140;billabong;men;adult;clothing;jackets;quilted;casual;
ebyjk00141;billabong;men;adult;clothing;jackets;rain;casual;
ebyjk00142;billabong;men;adult;clothing;jackets;quilted;casual;pfc_free
ebyjk00145;billabong;men;adult;clothing;jackets;quilted;casual;recycled
ebyjv00118;billabong;men;adult;swim;boardshorts;regular;surf;recycled
ebyjv00119;billabong;men;adult;swim;boardshorts;regular;surf;recycled
ebykt00111;billabong;men;adult;clothing;t-shirt;crew;casual;
ebykt00112;billabong;men;adult;clothing;polo;classic;casual;
ebykt00113;billabong;men;adult;clothing;t-shirt;crew;casual;
ebykt00114;billabong;men;adult;clothing;t-shirt;crew;casual;
ebykt00115;billabong;men;adult;clothing;t-shirt;crew;casual;
ebykt00116;billabong;men;adult;clothing;t-shirt;crew;casual;
ebykt00117;billabong;men;adult;clothing;t-shirt;crew;casual;
ebynp00112;billabong;men;adult;clothing;pants;sweatpants;casual;recycled
ebynp00114;billabong;men;adult;clothing;pants;chino;casual;
ebynp00115;billabong;men;adult;clothing;pants;stretch;casual;recycled
ebysf00170;billabong;men;adult;clothing;fleece_polar;fleece;casual;recycled
ebysf00171;billabong;men;adult;clothing;fleece_polar;fleece;casual;recycled
ebysf00172;billabong;men;adult;clothing;fleece_polar;fleece;casual;recycled
ebysf00173;billabong;men;adult;clothing;fleece_polar;hoodie;casual;recycled
ebysf00174;billabong;men;adult;clothing;fleece_polar;hoodie;casual;recycled
ebysf00175;billabong;men;adult;clothing;fleece_polar;hoodie;casual;recycled
ebysf00176;billabong;men;adult;clothing;fleece_polar;hoodie;casual;recycled
